rank,uid,username,type,accompany,medal_name,medal_level
1,259162605,灰毛艾露猫,提督,172,绿冻,46
2,3546919678773500,灰獺,提督,183,绿冻,45
3,1056997306,異分岐のプリエ,提督,189,绿冻,43
4,954264,禅心皈无意,提督,171,绿冻,43
5,620527230,gorilla3535,提督,174,绿冻,43
6,39184396,继续吹着风,提督,183,绿冻,42
7,2399747,绫辻澪,提督,178,绿冻,41
8,476251017,衣水难尽,提督,172,绿冻,41
9,352883270,米洗鳰原葉,提督,131,绿冻,41
10,485418462,灰泽满家的伊洛本人,提督,118,绿冻,41
11,5266758,水布Mizufu,提督,136,绿冻,40
12,39493583,本命伊利亚,提督,171,绿冻,40
13,13334226,微绫,提督,171,绿冻,40
14,3546983578994744,KOU_KEI,提督,175,绿冻,39
15,5623688,Helikobeter,提督,110,绿冻,39
16,1429196293,匹诺曹317,提督,113,绿冻,39
17,1002305706,雪音-xy,提督,118,绿冻,38
18,471084,一稞大青菜,提督,178,绿冻,38
19,321224291,区泽马,提督,103,绿冻,38
20,5775091,sue77776,提督,166,绿冻,37
21,6251296,栗帽,提督,70,绿冻,37
22,27341319,加库伯,提督,180,绿冻,37
23,494629966,aIIblacks,提督,125,绿冻,36
24,916810,Jing11219,提督,41,绿冻,35
25,249486249,larva_中国囚人,提督,76,绿冻,34
26,24785752,Fndryk,提督,95,绿冻,34
27,10158641,柜男爆破猴楼来福,提督,124,绿冻,34
28,1569772,澹台璃沙,提督,70,绿冻,34
29,521223761,芙芙狐狐fuff,提督,70,绿冻,32
30,16934546,yowaai,提督,109,绿冻,32
31,24463362,悦清平,提督,92,绿冻,31
32,43749583,吾乃路过,提督,61,绿冻,31
33,262924074,星天_Change,提督,9,绿冻,31
34,435816551,大梦自知,提督,18,绿冻,31
35,523891,桜羽エマ様,提督,50,绿冻,31
36,361364517,本間心鈴厨,提督,30,绿冻,31
37,29552416,我一厢情愿的恋人,提督,23,绿冻,31
38,12976389,橘与柑Orange,提督,5,绿冻,30
39,8396429,airstone42,提督,19,绿冻,30
40,3537111361784788,梦里频得句,提督,18,绿冻,30
