rank,uid,username,type,accompany,medal_name,medal_level
1,259162605,Arichi_,提督,137,绿冻,45
2,3546919678773500,灰獺,提督,148,绿冻,45
3,1056997306,異分岐のプリエ,提督,154,绿冻,43
4,620527230,gorilla3535,提督,139,绿冻,42
5,954264,禅心皈无意,提督,136,绿冻,42
6,8097996,明石ito,提督,141,绿冻,41
7,2399747,绫辻澪,提督,143,绿冻,41
8,39184396,继续吹着风,提督,148,绿冻,41
9,476251017,衣水难尽,提督,137,绿冻,40
10,352883270,灰泽满家的米洗鳰原葉,提督,96,绿冻,40
11,485418462,灰泽满家的伊洛本人,提督,83,绿冻,40
12,5266758,水布Mizufu,提督,101,绿冻,40
13,39493583,本命伊利亚,提督,136,绿冻,39
14,13334226,微绫,提督,136,绿冻,39
15,228098233,叹虚,提督,116,绿冻,38
16,1002305706,雪音-xy,提督,83,绿冻,38
17,471084,一稞大青菜,提督,143,绿冻,37
18,321224291,区泽马,提督,68,绿冻,37
19,5623688,Helikobeter,提督,75,绿冻,37
20,1429196293,匹诺曹317,提督,78,绿冻,36
21,5775091,sue77776,提督,131,绿冻,36
22,27341319,加库伯_重生冷却中,提督,145,绿冻,36
23,494629966,aIIblacks,提督,90,绿冻,35
24,6251296,栗帽,提督,35,绿冻,33
25,249486249,larva_中国囚人,提督,41,绿冻,33
26,189997540,音速の水母,提督,41,绿冻,31
27,916810,Jing11219,提督,6,绿冻,31
28,40699233,闲着没事造点什么,提督,35,绿冻,31
29,285693795,星光箱水母,舰长,141,绿冻,41
30,2044760,Stan661,舰长,128,绿冻,41
31,6580838,兰卡兰卡兰兰的卡,舰长,154,绿冻,39
32,3546983578994744,KOU_KEI,舰长,140,绿冻,38
33,13012997,灰泽满家的污盘子,舰长,152,绿冻,38
34,108005133,Taco_7,舰长,151,绿冻,37
35,14071856,最后一步,舰长,140,绿冻,36
36,1603612,月ノneet,舰长,126,绿冻,36
37,4041465,风霜已尽惊蛰至,舰长,121,绿冻,36
38,863500,任任女孩,舰长,143,绿冻,36
39,335998795,自在他化天,舰长,148,绿冻,36
40,4940641,endle_ss,舰长,144,绿冻,36
41,208818750,你治好了也会流口水,舰长,98,绿冻,35
42,18275149,rrrract,舰长,147,绿冻,35
43,10323817,宇宙人不是外星人,舰长,154,绿冻,35
44,1555138395,风云散丶,舰长,66,绿冻,35
45,297087,可樂中毒,舰长,109,绿冻,35
46,68243757,花雨浮华,舰长,152,绿冻,35
47,5366426,選ばれた奏者,舰长,134,绿冻,35
48,444186960,中年外卖员阿哔official,舰长,137,绿冻,34
49,23279442,不良定义,舰长,152,绿冻,34
