rank,uid,username,type,accompany,medal_name,medal_level
1,259162605,Arichi_,提督,141,绿冻,46
2,3546919678773500,灰獺,提督,152,绿冻,45
3,1056997306,異分岐のプリエ,提督,158,绿冻,43
4,954264,禅心皈无意,提督,140,绿冻,43
5,620527230,gorilla3535,提督,143,绿冻,42
6,39184396,继续吹着风,提督,152,绿冻,41
7,8097996,明石ito,提督,145,绿冻,41
8,2399747,绫辻澪,提督,147,绿冻,41
9,476251017,衣水难尽,提督,141,绿冻,41
10,352883270,灰泽满家的米洗鳰原葉,提督,100,绿冻,41
11,485418462,灰泽满家的伊洛本人,提督,87,绿冻,41
12,5266758,水布Mizufu,提督,105,绿冻,40
13,39493583,本命伊利亚,提督,140,绿冻,39
14,13334226,微绫,提督,140,绿冻,39
15,5623688,Helikobeter,提督,79,绿冻,39
16,1429196293,匹诺曹317,提督,82,绿冻,38
17,228098233,叹虚,提督,120,绿冻,38
18,1002305706,雪音-xy,提督,87,绿冻,38
19,208818750,你治好了也会流口水,提督,102,绿冻,38
20,471084,一稞大青菜,提督,147,绿冻,37
21,321224291,区泽马,提督,72,绿冻,37
22,5775091,sue77776,提督,135,绿冻,37
23,6251296,栗帽,提督,39,绿冻,36
24,27341319,加库伯_重生冷却中,提督,149,绿冻,36
25,494629966,aIIblacks,提督,94,绿冻,35
26,916810,Jing11219,提督,10,绿冻,35
27,244453975,大纳言黑翼,提督,91,绿冻,33
28,249486249,larva_中国囚人,提督,45,绿冻,33
29,189997540,音速の水母,提督,45,绿冻,32
30,40699233,闲着没事造点什么,提督,39,绿冻,31
31,285693795,星光箱水母,舰长,145,绿冻,41
32,2044760,Stan661,舰长,132,绿冻,41
33,6580838,兰卡兰卡兰兰的卡,舰长,158,绿冻,39
34,3546983578994744,KOU_KEI,舰长,144,绿冻,38
35,13012997,灰泽满家的污盘子,舰长,156,绿冻,38
36,108005133,Taco_7,舰长,155,绿冻,37
37,14071856,最后一步,舰长,144,绿冻,36
38,1603612,月ノneet,舰长,130,绿冻,36
39,863500,任任女孩,舰长,147,绿冻,36
40,4041465,风霜已尽惊蛰至,舰长,125,绿冻,36
41,4940641,endle_ss,舰长,148,绿冻,36
42,335998795,自在他化天,舰长,152,绿冻,36
43,18275149,rrrract,舰长,151,绿冻,35
44,10323817,宇宙人不是外星人,舰长,158,绿冻,35
45,1555138395,风云散丶,舰长,70,绿冻,35
46,297087,可樂中毒,舰长,113,绿冻,35
47,5366426,選ばれた奏者,舰长,138,绿冻,35
48,68243757,花雨浮华,舰长,156,绿冻,35
49,444186960,中年外卖员阿哔official,舰长,141,绿冻,34
50,25103813,ヰ繭月,舰长,124,绿冻,34
51,234387635,害羞小柚子,舰长,140,绿冻,34
52,195641492,苺棃普贝当,舰长,122,绿冻,34
53,23279442,不良定义,舰长,156,绿冻,34
54,283678245,烟画屏幽,舰长,144,绿冻,34
55,3493122468219352,超浓厚水蜜桃果汁,舰长,142,绿冻,34
56,351035979,_纷若_,舰长,140,绿冻,33
57,4045067,Ricardo洞,舰长,151,绿冻,33
58,3461581952256234,三陈小祥-xxx,舰长,149,绿冻,33
59,253472118,仿佛有一束追光,舰长,104,绿冻,33
60,628611226,孤独な野良猫,舰长,149,绿冻,33
61,329002509,野生闪光七星,舰长,147,绿冻,33
62,7108333,理性与感性的结晶体,舰长,109,绿冻,33
63,269109657,次の舞台へ,舰长,155,绿冻,33
64,11972745,残雨断魂,舰长,145,绿冻,33
65,7159516,恩仙仙,舰长,158,绿冻,33
66,209374441,知世xf,舰长,141,绿冻,33
67,5667363,关心坐骨神经疼,舰长,102,绿冻,33
68,28611751,不是水果是冰菓,舰长,77,绿冻,33
69,398882736,道明寺萌美,舰长,146,绿冻,33
70,1277473796,灰泽满家的stories,舰长,88,绿冻,33
71,6071558,きんなかいほう,舰长,82,绿冻,32
72,1622037175,晓璟含挚烁,舰长,134,绿冻,32
73,3546794277472781,比奇南,舰长,140,绿冻,32
74,521836918,灰泽满轻度依赖,舰长,140,绿冻,32
75,177397837,幽云怀煦,舰长,63,绿冻,32
76,431935426,摘星踏雪归,舰长,109,绿冻,32
77,49094907,1oz47,舰长,130,绿冻,32
78,3546682545408719,冰菓ツ,舰长,157,绿冻,32
79,22290994,River-sea,舰长,135,绿冻,32
80,446761374,北冥无鱼也无鲲,舰长,149,绿冻,32
81,1832560,大小的白帝,舰长,141,绿冻,32
82,430929029,风欲渐起微,舰长,91,绿冻,32
83,249163668,优等nana,舰长,64,绿冻,32
84,141192131,deemp,舰长,90,绿冻,32
85,11504337,弥希Mik1,舰长,80,绿冻,32
86,434527265,MorOn1y,舰长,111,绿冻,32
87,700643657,南洋怪盗灰泽满,舰长,64,绿冻,31
88,9846384,SekiDawn,舰长,72,绿冻,31
89,294817063,此间好安眠,舰长,123,绿冻,31
90,447001521,jioklr,舰长,142,绿冻,31
91,24785752,Fndryk,舰长,64,绿冻,31
92,19884007,南风入弦丶l,舰长,158,绿冻,31
93,1431527,美國華人唐佳欣,舰长,132,绿冻,31
94,39256719,1114ka,舰长,79,绿冻,31
95,38928088,偽物WEIWU,舰长,94,绿冻,31
96,10158641,暖男爆破猴楼来福,舰长,93,绿冻,31
97,6221157,Isklia宝,舰长,140,绿冻,31
98,273457056,弥月家的夏祭拉面,舰长,149,绿冻,31
99,896687,往枉王旺,舰长,140,绿冻,31
100,768021,はいいろ773,舰长,82,绿冻,31
101,85581578,丿紫灬龙,舰长,142,绿冻,31
102,21300440,山月喵,舰长,70,绿冻,31
103,34680760,西太平洋海豹,舰长,111,绿冻,31
104,10472761,胡歌我爱你,舰长,82,绿冻,30
105,471005865,二宝的逻辑猫,舰长,140,绿冻,30
106,9553689,哇英梨梨,舰长,156,绿冻,30
107,3258837,月茗绮桦,舰长,127,绿冻,30
108,3561142,无名一世,舰长,155,绿冻,30
109,35891955,高松灯型綠毛龜,舰长,155,绿冻,30
110,3501990,-小良与兔-,舰长,152,绿冻,30
111,15653509,东东大大,舰长,140,绿冻,30
112,175418689,即将氷解的梦,舰长,95,绿冻,30
113,336198406,凌徊levy,舰长,130,绿冻,30
114,5013586,满满冻冻和好吧,舰长,152,绿冻,30
115,237518089,-灼烯-,舰长,82,绿冻,30
116,3567390,NullExistence_X,舰长,102,绿冻,30
117,266950833,HYSSNH,舰长,33,绿冻,30
118,595680892,找路中,舰长,98,绿冻,30
119,306642,刺猬随心配,舰长,90,绿冻,30
120,12700680,Lappland--,舰长,114,绿冻,30
121,198677109,Ungeheuer,舰长,121,绿冻,30
122,98726067,musa-o,舰长,108,绿冻,30
123,453572565,全職彌人-andy878797,舰长,144,绿冻,30
124,21756232,被灰女妖脑控了,舰长,145,绿冻,30
125,441071602,冬日私语_,舰长,90,绿冻,30
126,1120075744,水星旅游,舰长,94,绿冻,30
127,84519881,bigassy,舰长,127,绿冻,30
128,356030985,灰泽满还在嘴硬,舰长,88,绿冻,30
129,237845732,gigigigibeibei,舰长,66,绿冻,30
130,129944702,FarLuck-,舰长,82,绿冻,30
131,38601343,灰泽满hazel全肯定,舰长,57,绿冻,30
132,15672465,灰泽满从小就是好女孩,舰长,100,绿冻,29
133,84219012,我哭死你,舰长,84,绿冻,29
134,290349893,全薯记,舰长,100,绿冻,29
135,1848450113,永生の玖,舰长,108,绿冻,29
136,3546704791997166,时之蠹,舰长,86,绿冻,29
137,7833411,破坏龙甘多拉,舰长,78,绿冻,29
138,66904242,凤游四海,舰长,82,绿冻,29
139,354293626,苦救,舰长,115,绿冻,29
140,15190952,None_so_Vile,舰长,92,绿冻,29
141,13299048,-据亿锡纸-,舰长,101,绿冻,29
142,38739372,_渚风,舰长,142,绿冻,29
143,57538746,o日暮,舰长,107,绿冻,29
144,13239691,梅莉不加糖,舰长,82,绿冻,29
145,39055616,斑鳩ルカ,舰长,156,绿冻,29
146,19250850,Lope--,舰长,86,绿冻,29
147,7986608,逸国兴徐逸王,舰长,110,绿冻,29
148,13735158,-奶P之怒-,舰长,149,绿冻,29
149,346094292,普通友人z,舰长,94,绿冻,29
150,32951272,天无无极限,舰长,100,绿冻,28
151,8359,赫のシャドール,舰长,148,绿冻,28
152,131308759,吾皇为师,舰长,82,绿冻,28
153,1992400,刚大侠,舰长,140,绿冻,28
154,13517355,凉秋21,舰长,151,绿冻,28
155,8136225,海绵宝宝奈亚儿,舰长,93,绿冻,28
156,1580514408,大牛一世,舰长,69,绿冻,28
157,3546755501132182,冬季夹心巧克力,舰长,132,绿冻,28
158,411477786,碧落QAQ,舰长,79,绿冻,28
159,1569772,澹台璃沙,舰长,39,绿冻,28
160,70834304,松果林,舰长,145,绿冻,28
161,289612460,你恰不恰柠檬,舰长,45,绿冻,28
162,179175618,五棱马,舰长,39,绿冻,28
163,1348129517,帅小沙OvO,舰长,63,绿冻,28
164,584655878,StoRyteL1er,舰长,140,绿冻,28
165,10267625,Biin9,舰长,91,绿冻,28
166,3706934836333286,冰上lvy,舰长,122,绿冻,28
167,1503322985,kymkymkyb,舰长,34,绿冻,28
168,17322,turtlejk,舰长,134,绿冻,28
169,652430507,2x37mmのt,舰长,83,绿冻,28
170,42254819,白佚Ryis,舰长,56,绿冻,28
171,521223761,芙芙狐狐fuff,舰长,39,绿冻,28
172,36328228,鲁鲁花生油-,舰长,39,绿冻,27
173,123753300,黑桃Mission,舰长,78,绿冻,27
174,503742062,天邊雨,舰长,130,绿冻,27
175,32234277,半瓶道人,舰长,135,绿冻,27
176,403372435,紫炎Yukari_En,舰长,119,绿冻,27
177,3843791,布罗迪娅,舰长,0,绿冻,27
178,524058987,五岛えりな,舰长,91,绿冻,27
179,278471624,yuki_昵称不可用,舰长,87,绿冻,27
180,443066653,毛线毛裤qaq,舰长,121,绿冻,27
181,85807142,吡啶交易所,舰长,118,绿冻,27
182,2092714,Amadeus_0,舰长,74,绿冻,27
183,36122095,琉夜Hano,舰长,113,绿冻,27
184,188600545,亚妮艾丝克劳蒂尔,舰长,50,绿冻,27
185,19172254,咕噜咕噜Alin,舰长,115,绿冻,27
186,504549491,暗雪一_一,舰长,4,绿冻,27
187,37086494,特大份薯条,舰长,106,绿冻,26
188,21921247,樱绫石,舰长,87,绿冻,26
189,85199377,叁拾0030,舰长,10,绿冻,26
190,8147141,如此易碎的日常,舰长,39,绿冻,26
191,46459464,如泪渐雨,舰长,39,绿冻,26
192,16934546,刘神是恶魔,舰长,78,绿冻,26
193,674248561,飞机坏飞机坏,舰长,50,绿冻,26
194,156710135,灰泽满小男友,舰长,45,绿冻,26
195,455214988,大有问题的瑞希小姐,舰长,57,绿冻,26
196,10863535,ChthollyToTina,舰长,57,绿冻,26
197,16960494,羽灵Uring7,舰长,56,绿冻,26
198,1960445,杰克X游星,舰长,39,绿冻,26
199,297285769,文静模仿者,舰长,86,绿冻,26
200,22203242,zodiac鸢,舰长,39,绿冻,26
201,24463362,悦清平,舰长,61,绿冻,26
202,325902230,doraifurwa,舰长,32,绿冻,26
203,5876736,斯堪的纳维纳斯,舰长,39,绿冻,26
204,402747696,城塚翡翠-,舰长,77,绿冻,26
