rank,uid,username,type,accompany,medal_name,medal_level
1,3546919678773500,灰獭家的局外人,提督,12,绿冻,41
2,6580838,兰卡兰卡兰兰的卡,提督,18,绿冻,35
3,14374,戏言分子,提督,16,绿冻,34
4,39184396,继续吹着风,提督,12,绿冻,31
5,13012997,一只污盘子,提督,16,绿冻,30
6,3493262794950752,ー海豹ー,提督,16,绿冻,30
7,1056997306,異分岐のプリエ,舰长,18,绿冻,30
8,108005133,Taco_7,舰长,15,绿冻,30
9,1333226786,淬鱼Lemon,舰长,16,绿冻,30
10,293097916,松花渔,舰长,15,绿冻,28
11,335998795,自在他化天,舰长,12,绿冻,28
12,3546638930938690,单推人O_o,舰长,15,绿冻,28
13,683573,日日夜夜__,舰长,15,绿冻,28
14,18275149,rrrract,舰长,11,绿冻,27
15,68243757,花雨浮华,舰长,16,绿冻,27
16,224768668,海胆饭蘸芥末,舰长,16,绿冻,26
17,189065157,颢梦,舰长,11,绿冻,26
18,7159516,恩仙仙,舰长,18,绿冻,26
19,329002509,野生闪光七星,舰长,7,绿冻,26
20,7022022,雨森大夜,舰长,15,绿冻,25
21,11283433,業風,舰长,11,绿冻,25
22,286942952,长九_,舰长,11,绿冻,25
23,167848076,灰泽满家的芒硝,舰长,15,绿冻,25
24,628996143,オフライン,舰长,15,绿冻,25
25,269109657,次の舞台へ,舰长,15,绿冻,25
26,19884007,南风入弦丶l,舰长,18,绿冻,25
27,23279442,不良定义,舰长,16,绿冻,25
28,628611226,猫猫狗狗和好吧,舰长,9,绿冻,25
29,4045067,Ricardo洞,舰长,12,绿冻,25
30,11372295,草薙龙辉,舰长,11,绿冻,24
31,255474911,hquaz,舰长,9,绿冻,24
32,19904575,Snow_QB,舰长,11,绿冻,24
33,39055616,斑鳩ルカ,舰长,16,绿冻,24
34,27341319,加库伯,舰长,9,绿冻,24
35,249078859,雨谷小雨__,舰长,11,绿冻,24
36,3493086111992667,空想熵,舰长,15,绿冻,24
37,1465122,bilibili账号,舰长,14,绿冻,24
38,494962154,鏡中觀月,舰长,11,绿冻,24
39,1598847376,铁铁__,舰长,11,绿冻,24
40,3461581952256234,三陈小祥-xxx,舰长,16,绿冻,24
41,12894843,kyeremalprime,舰长,11,绿冻,24
42,8097996,明石ito,舰长,5,绿冻,24
43,3542675,鸢一千代纸,舰长,11,绿冻,24
44,589981496,Simonidean,舰长,11,绿冻,24
45,381978184,莳花雫依旧,舰长,11,绿冻,24
46,1187816424,晚睡还得早起,舰长,11,绿冻,24
47,1673559,KorokkeSUI-3-,舰长,11,绿冻,24
48,38739372,_渚风,舰长,18,绿冻,24
49,12432912,蒲鹭Pulu_official,舰长,16,绿冻,24
50,273457056,夏祭拉面,舰长,9,绿冻,24
51,41318811,月觴,舰长,11,绿冻,23
52,593017906,灰色懒狗不播就l,舰长,11,绿冻,23
53,370409298,幸运灰月,舰长,15,绿冻,23
54,88013991,冬子冬优子,舰长,4,绿冻,23
55,34880793,Mylenenenene,舰长,14,绿冻,23
56,453572565,全職彌人-andy878797,舰长,4,绿冻,23
57,316426354,汐见萤妈妈,舰长,11,绿冻,23
58,13517355,凉秋21,舰长,11,绿冻,23
59,31271170,一般路过v友,舰长,11,绿冻,23
60,4940641,endle_ss,舰长,8,绿冻,23
61,3546893510511472,陳銳,舰长,16,绿冻,23
62,285693795,帆布Equinox,舰长,5,绿冻,23
63,3546983578994744,KOU_KEI,舰长,4,绿冻,23
64,9553689,哇英梨梨,舰长,16,绿冻,23
65,1687930947,笑狮弹剑,舰长,9,绿冻,23
66,630236870,三只大白鸭,舰长,7,绿冻,23
67,3501990,-小良与兔-,舰长,12,绿冻,23
68,182870229,当日明月,舰长,11,绿冻,23
69,3561142,无名一世,舰长,15,绿冻,23
70,26536763,めちゃくちゃ炒飯,舰长,16,绿冻,23
71,109152708,孤独熊Kuma,舰长,14,绿冻,23
72,12037051,岛那灯,舰长,16,绿冻,22
73,14071856,最后一步,舰长,4,绿冻,22
74,620527230,gorilla3535,舰长,3,绿冻,22
75,434505019,凯之后援团团长,舰长,15,绿冻,22
76,10323817,宇宙人不是外星人,舰长,18,绿冻,22
77,50060892,豆腐脑加冰块,舰长,9,绿冻,22
78,65155304,几句话0421,舰长,14,绿冻,22
79,5013586,满满冻冻和好吧,舰长,12,绿冻,22
80,14719304,违规昵称_Rui,舰长,8,绿冻,22
81,444186960,中年外卖员阿哔official,舰长,4,绿冻,22
82,205168793,芙兰朵露的莱瓦汀,舰长,16,绿冻,22
83,283678245,烟画屏幽,舰长,5,绿冻,22
84,35891955,高松灯型綠毛龜,舰长,15,绿冻,22
85,3632310503082196,o肯o肯,舰长,16,绿冻,22
86,1120075744,水星旅游,舰长,2,绿冻,22
87,936269,紳士君P,舰长,16,绿冻,22
88,85581578,丿紫灬龙,舰长,2,绿冻,22
89,21137726,nEwb1EE,舰长,15,绿冻,22
90,346825258,是理会人啊,舰长,5,绿冻,22
91,3904901,不知火丶焰,舰长,12,绿冻,22
92,10667138,香蕉味jio皮,舰长,12,绿冻,22
93,7175286,Hominidae_,舰长,15,绿冻,22
94,259222639,白灯_official,舰长,2,绿冻,22
95,35676933,灰泽满家的星叶Iris,舰长,12,绿冻,22
96,3546980370352517,山雨常数,舰长,12,绿冻,22
97,471084,一稞大青菜,舰长,7,绿冻,22
98,4274580,良臣没有重谢,舰长,15,绿冻,22
99,398882736,道明寺萌美,舰长,7,绿冻,22
100,863500,任任女孩,舰长,7,绿冻,22
101,3546682545408719,冰菓ツ,舰长,18,绿冻,22
102,34616293,摸摸摸摸你傻,舰长,16,绿冻,22
103,3691000675437378,羊嫁兰,舰长,8,绿冻,22
104,400577842,镜中狂客kagami,舰长,12,绿冻,22
105,3546624332662874,紫薯电话,舰长,15,绿冻,22
106,493383454,提尔之手Austin,舰长,2,绿冻,22
107,19722459,菫時厨,舰长,15,绿冻,22
108,1384500,抽象工作室_upupup,舰长,15,绿冻,21
109,24816063,-縶給闦蘉鸀鱍鞝繝礃-,舰长,16,绿冻,21
110,224656237,童话避难所,舰长,8,绿冻,21
111,11972745,残雨断魂,舰长,5,绿冻,21
112,25942909,鸦天狗狗文,舰长,16,绿冻,21
113,441776977,Chitose彰良,舰长,15,绿冻,21
114,20866893,缘亚,舰长,7,绿冻,21
115,12058821,亀騎士07,舰长,12,绿冻,21
116,431226279,Reflect_VoV,舰长,15,绿冻,21
117,324019213,剑使臣,舰长,16,绿冻,21
118,3493257038268887,十六契灵命异事务所,舰长,15,绿冻,21
119,2109806882,明月清晖夜,舰长,8,绿冻,21
120,22006901,ddyddyddyddy,舰长,12,绿冻,21
121,341184923,濑名爱理的小红袄,舰长,15,绿冻,21
122,446761374,北冥无鱼也无鲲,舰长,9,绿冻,21
123,366450460,自然立法者,舰长,15,绿冻,21
124,381795777,superdohiru,舰长,12,绿冻,21
125,18067697,ShinyBrick,舰长,9,绿冻,21
126,2097870821,白天LightSky,舰长,12,绿冻,21
127,21756232,被灰女妖脑控了,舰长,5,绿冻,21
128,584476190,喵星的小鱼干404,舰长,16,绿冻,21
129,2399747,绫辻澪,舰长,7,绿冻,21
130,13735158,奶P之怒,舰长,9,绿冻,21
131,33673954,serika-onoe_,舰长,15,绿冻,21
132,291102,鸣琴酌酒,舰长,8,绿冻,21
133,672157718,灰泽满offical,舰长,7,绿冻,21
134,34470629,五块钱能吃什么,舰长,12,绿冻,21
135,4568620,天敌炉石,舰长,2,绿冻,21
136,3493122468219352,超浓厚水蜜桃果汁,舰长,2,绿冻,21
137,6505731,Lu_luluul,舰长,12,绿冻,21
138,446724623,秋月遥zuki,舰长,15,绿冻,21
139,13075474,硒二,舰长,15,绿冻,21
140,100924004,穿裤衩的小萝卜,舰长,8,绿冻,21
141,13475303,米汀的小笼包,舰长,18,绿冻,21
142,8359,赫のシャドール,舰长,8,绿冻,21
143,525974068,星只为伱命名,舰长,5,绿冻,21
144,65610660,啵烂柚恩的小脸,舰长,7,绿冻,21
145,447001521,jioklr,舰长,2,绿冻,21
146,22072857,南客徊,舰长,16,绿冻,21
147,70834304,松果林,舰长,5,绿冻,21
148,55632849,鏡花水月O-O,舰长,5,绿冻,21
149,22809120,yaji0614,舰长,2,绿冻,21
150,3989554,名利场,舰长,16,绿冻,21
151,242684436,时间线里的時間點-,舰长,12,绿冻,21
152,415487835,起迟了没饭吃,舰长,12,绿冻,21
153,776739,茶鲸Teawhale,舰长,2,绿冻,21
154,247089785,百合营业执照,舰长,7,绿冻,21
155,383981172,无言的彗星,舰长,2,绿冻,21
156,10028225,嘉心糖Cinnamoroll,舰长,12,绿冻,21
157,3537105139534505,VR信吧二创组,舰长,15,绿冻,21
158,22786748,帕可家的alienation,舰长,18,绿冻,21
159,289022690,苏郁川_Aut,舰长,12,绿冻,21
160,575805,海豹摸鱼,舰长,12,绿冻,21
161,19135552,冨田草草風,舰长,2,绿冻,21
162,3546769138911479,水晶高松灯火灵,舰长,18,绿冻,21
163,37824799,空中楼閣,舰长,5,绿冻,21
164,3493084472019038,薄荷糖8辣,舰长,18,绿冻,21
165,1640605,神の道化,舰长,18,绿冻,21
166,18138827,vvannie,舰长,18,绿冻,21
167,1898933127,一二峰,舰长,18,绿冻,21
168,3494370357545690,弥希Miki单推人,舰长,5,绿冻,21
