rank,uid,username,type,accompany,medal_name,medal_level
1,3546919678773500,灰獭家的局外人,提督,15,绿冻,41
2,6580838,兰卡兰卡兰兰的卡,提督,21,绿冻,35
3,14374,戏言分子,提督,19,绿冻,34
4,39184396,继续吹着风,提督,15,绿冻,31
5,13012997,一只污盘子,提督,19,绿冻,30
6,259162605,Arichi_,提督,4,绿冻,30
7,3493262794950752,ー海豹ー,提督,19,绿冻,30
8,1056997306,異分岐のプリエ,舰长,21,绿冻,31
9,108005133,Taco_7,舰长,18,绿冻,31
10,1333226786,淬鱼Lemon,舰长,19,绿冻,30
11,335998795,自在他化天,舰长,15,绿冻,29
12,3546638930938690,单推人O_o,舰长,18,绿冻,29
13,293097916,松花渔,舰长,18,绿冻,29
14,18275149,rrrract,舰长,14,绿冻,28
15,683573,日日夜夜__,舰长,18,绿冻,28
16,224768668,海胆饭蘸芥末,舰长,19,绿冻,27
17,68243757,花雨浮华,舰长,19,绿冻,27
18,189065157,颢梦,舰长,14,绿冻,26
19,329002509,野生闪光七星,舰长,10,绿冻,26
20,167848076,灰泽满家的芒硝,舰长,18,绿冻,26
21,286942952,长九_,舰长,14,绿冻,26
22,7159516,恩仙仙,舰长,21,绿冻,26
23,620527230,gorilla3535,舰长,6,绿冻,25
24,23279442,不良定义,舰长,19,绿冻,25
25,7022022,雨森大夜,舰长,18,绿冻,25
26,19884007,南风入弦丶l,舰长,21,绿冻,25
27,11283433,業風,舰长,14,绿冻,25
28,628996143,オフライン,舰长,18,绿冻,25
29,269109657,次の舞台へ,舰长,18,绿冻,25
30,4045067,Ricardo洞,舰长,15,绿冻,25
31,255474911,hquaz,舰长,12,绿冻,25
32,1687930947,笑狮弹剑,舰长,12,绿冻,25
33,628611226,猫猫狗狗和好吧,舰长,12,绿冻,25
34,3461581952256234,三陈小祥-xxx,舰长,19,绿冻,25
35,27341319,加库伯,舰长,12,绿冻,25
36,88013991,冬子冬优子,舰长,7,绿冻,25
37,8097996,明石ito,舰长,8,绿冻,25
38,285693795,帆布Equinox,舰长,8,绿冻,25
39,11372295,草薙龙辉,舰长,14,绿冻,24
40,39055616,斑鳩ルカ,舰长,19,绿冻,24
41,3493086111992667,空想熵,舰长,18,绿冻,24
42,1598847376,铁铁__,舰长,14,绿冻,24
43,4940641,endle_ss,舰长,11,绿冻,24
44,19904575,Snow_QB,舰长,14,绿冻,24
45,1465122,bilibili账号,舰长,17,绿冻,24
46,273457056,夏祭拉面,舰长,12,绿冻,24
47,249078859,雨谷小雨__,舰长,14,绿冻,24
48,3546983578994744,KOU_KEI,舰长,7,绿冻,24
49,494962154,鏡中觀月,舰长,14,绿冻,24
50,5366426,選ばれた奏者,舰长,3,绿冻,24
51,630236870,三只大白鸭,舰长,10,绿冻,24
52,3542675,鸢一千代纸,舰长,14,绿冻,24
53,12894843,kyeremalprime,舰长,14,绿冻,24
54,589981496,Simonidean,舰长,14,绿冻,24
55,291102,鸣琴酌酒,舰长,11,绿冻,24
56,381978184,莳花雫依旧,舰长,14,绿冻,24
57,1187816424,晚睡还得早起,舰长,14,绿冻,24
58,453572565,全職彌人-andy878797,舰长,7,绿冻,24
59,1673559,KorokkeSUI-3-,舰长,14,绿冻,24
60,10323817,宇宙人不是外星人,舰长,21,绿冻,24
61,38739372,_渚风,舰长,21,绿冻,24
62,41318811,月觴,舰长,14,绿冻,24
63,12432912,蒲鹭Pulu_official,舰长,19,绿冻,24
64,34880793,Mylenenenene,舰长,17,绿冻,24
65,521836918,灰泽满轻度依赖,舰长,3,绿冻,23
66,35891955,高松灯型綠毛龜,舰长,18,绿冻,23
67,863500,任任女孩,舰长,10,绿冻,23
68,3561142,无名一世,舰长,18,绿冻,23
69,593017906,灰色懒狗不播就l,舰长,14,绿冻,23
70,370409298,幸运灰月,舰长,18,绿冻,23
71,3501990,-小良与兔-,舰长,15,绿冻,23
72,954264,禅心皈无意,舰长,3,绿冻,23
73,5013586,满满冻冻和好吧,舰长,15,绿冻,23
74,14071856,最后一步,舰长,7,绿冻,23
75,31271170,一般路过v友,舰长,14,绿冻,23
76,26536763,めちゃくちゃ炒飯,舰长,19,绿冻,23
77,13517355,凉秋21,舰长,14,绿冻,23
78,316426354,汐见萤妈妈,舰长,14,绿冻,23
79,3546893510511472,陳銳,舰长,19,绿冻,23
80,9553689,哇英梨梨,舰长,19,绿冻,23
81,283678245,烟画屏幽,舰长,8,绿冻,23
82,182870229,当日明月,舰长,14,绿冻,23
83,3546794277472781,比奇南,舰长,3,绿冻,23
84,109152708,孤独熊Kuma,舰长,17,绿冻,23
85,444186960,中年外卖员阿哔official,舰长,7,绿冻,23
86,12037051,岛那灯,舰长,19,绿冻,23
87,434505019,凯之后援团团长,舰长,18,绿冻,22
88,471084,一稞大青菜,舰长,10,绿冻,22
89,398882736,道明寺萌美,舰长,10,绿冻,22
