rank,uid,username,type,accompany,medal_name,medal_level
1,259162605,Arichi_,总督,106,绿冻,45
2,3546919678773500,灰獺,总督,117,绿冻,45
3,1056997306,異分岐のプリエ,提督,123,绿冻,43
4,620527230,gorilla3535,提督,108,绿冻,42
5,954264,禅心皈无意,提督,105,绿冻,42
6,8097996,明石ito,提督,110,绿冻,41
7,2399747,绫辻澪,提督,112,绿冻,41
8,39184396,继续吹着风,提督,117,绿冻,41
9,285693795,星光箱水母,提督,110,绿冻,41
10,2044760,Stan661,提督,97,绿冻,41
11,476251017,衣水难尽,提督,106,绿冻,40
12,352883270,灰泽满家的米洗鳰原葉,提督,65,绿冻,40
13,485418462,灰泽满家的伊洛本人,提督,52,绿冻,39
14,5266758,水布Mizufu,提督,70,绿冻,39
15,39493583,本命伊利亚,提督,105,绿冻,39
16,6580838,兰卡兰卡兰兰的卡,提督,123,绿冻,38
17,13334226,微绫,提督,105,绿冻,38
18,13012997,灰泽满家的污盘子,提督,121,绿冻,38
19,1002305706,雪音-xy,提督,52,绿冻,37
20,471084,一稞大青菜,提督,112,绿冻,37
21,228098233,叹虚,提督,85,绿冻,37
22,1603612,月ノneet,提督,95,绿冻,36
23,321224291,区泽马,提督,37,绿冻,36
24,5623688,Helikobeter,提督,44,绿冻,36
25,5775091,sue77776,提督,100,绿冻,36
26,208818750,你治好了也会流口水,提督,67,绿冻,35
27,863500,任任女孩,提督,112,绿冻,35
28,1429196293,匹诺曹317,提督,47,绿冻,35
29,27341319,加库伯_重生冷却中,提督,114,绿冻,35
30,496205090,宇宙船800,提督,64,绿冻,35
31,1555138395,风云散丶,提督,55,绿冻,35
32,6286790,Hazelnutt_,提督,4,绿冻,35
33,494629966,好兄弟allblacks,提督,59,绿冻,35
34,249486249,larva_中国囚人,提督,15,绿冻,30
35,3546983578994744,KOU_KEI,舰长,109,绿冻,38
36,108005133,Taco_7,舰长,120,绿冻,37
37,14071856,最后一步,舰长,109,绿冻,36
38,4041465,风霜已尽惊蛰至,舰长,90,绿冻,36
39,4940641,endle_ss,舰长,113,绿冻,35
40,335998795,自在他化天,舰长,117,绿冻,35
41,18275149,rrrract,舰长,116,绿冻,35
42,10323817,宇宙人不是外星人,舰长,123,绿冻,35
43,68243757,花雨浮华,舰长,121,绿冻,35
44,297087,可樂中毒,舰长,78,绿冻,35
45,14374,戏言分子,舰长,98,绿冻,34
46,444186960,中年外卖员阿哔official,舰长,106,绿冻,34
47,3546638930938690,灰泽满Hazel单推人O_o,舰长,120,绿冻,34
48,5366426,選ばれた奏者,舰长,103,绿冻,34
49,3493122468219352,超浓厚水蜜桃果汁,舰长,107,绿冻,33
50,195641492,莓梨普贝当,舰长,88,绿冻,33
51,255474911,hquaz,舰长,111,绿冻,33
52,23279442,不良定义,舰长,121,绿冻,33
53,25103813,ヰ繭月,舰长,89,绿冻,33
54,351035979,_纷若_,舰长,105,绿冻,33
55,628611226,孤独な野良猫,舰长,114,绿冻,33
56,34880793,Mylenenenenene,舰长,117,绿冻,33
57,234387635,害羞小柚子,舰长,105,绿冻,33
58,3461581952256234,三陈小祥-xxx,舰长,119,绿冻,33
59,283678245,烟画屏幽,舰长,109,绿冻,33
60,269109657,次の舞台へ,舰长,120,绿冻,33
61,7108333,理性与感性的结晶体,舰长,74,绿冻,33
62,4045067,Ricardo洞,舰长,116,绿冻,33
63,329002509,野生闪光七星,舰长,112,绿冻,33
64,7159516,恩仙仙,舰长,123,绿冻,33
65,209374441,知世xf,舰长,106,绿冻,33
66,11972745,残雨断魂,舰长,110,绿冻,33
67,253472118,仿佛有一束追光,舰长,69,绿冻,32
68,5667363,关心坐骨神经疼,舰长,67,绿冻,32
69,12432912,蒲鹭Pulu_official,舰长,121,绿冻,32
70,167848076,芒硝小朋友,舰长,115,绿冻,32
71,521836918,灰泽满轻度依赖,舰长,105,绿冻,32
72,1277473796,灰泽满家的stories,舰长,53,绿冻,32
73,1622037175,晓璟含挚烁,舰长,99,绿冻,32
74,30351721,grey1224,舰长,88,绿冻,32
75,49094907,1oz47,舰长,95,绿冻,32
76,430929029,风欲渐起微,舰长,56,绿冻,32
77,3546682545408719,冰菓ツ,舰长,122,绿冻,32
78,1687930947,笑狮弹剑,舰长,114,绿冻,32
79,3546794277472781,比奇南,舰长,105,绿冻,32
80,1832560,大小的白帝,舰长,106,绿冻,32
81,434527265,MorOn1y,舰长,76,绿冻,32
82,446761374,北冥无鱼也无鲲,舰长,114,绿冻,32
83,398882736,道明寺萌美,舰长,112,绿冻,32
84,28611751,不是水果是冰菓,舰长,42,绿冻,31
85,3546980370352517,山雨常数,舰长,117,绿冻,31
86,6071558,きんなかいほう,舰长,47,绿冻,31
87,141192131,deemp,舰长,55,绿冻,31
88,22290994,River-sea,舰长,100,绿冻,31
89,249163668,优等nana,舰长,34,绿冻,31
