rank,uid,username,type,accompany,medal_name,medal_level
1,259162605,Arichi_,总督,121,绿冻,45
2,3546919678773500,灰獺,总督,132,绿冻,45
3,1056997306,異分岐のプリエ,提督,138,绿冻,43
4,620527230,gorilla3535,提督,123,绿冻,42
5,954264,禅心皈无意,提督,120,绿冻,42
6,8097996,明石ito,提督,125,绿冻,41
7,2399747,绫辻澪,提督,127,绿冻,41
8,285693795,悲伤箱水母,提督,125,绿冻,41
9,39184396,继续吹着风,提督,132,绿冻,41
10,2044760,Stan661,提督,112,绿冻,41
11,476251017,衣水难尽,提督,121,绿冻,40
12,485418462,灰泽满家的伊洛本人,提督,67,绿冻,40
13,352883270,灰泽满家的米洗鳰原葉,提督,80,绿冻,40
14,5266758,水布Mizufu,提督,85,绿冻,39
15,39493583,本命伊利亚,提督,120,绿冻,39
16,6580838,兰卡兰卡兰兰的卡,提督,138,绿冻,39
17,13334226,微绫,提督,120,绿冻,38
18,13012997,灰泽满家的污盘子,提督,136,绿冻,38
19,1002305706,雪音-xy,提督,67,绿冻,38
20,228098233,叹虚,提督,100,绿冻,37
21,471084,一稞大青菜,提督,127,绿冻,37
22,321224291,区弥月,提督,52,绿冻,36
23,5623688,Helikobeter,提督,59,绿冻,36
24,1603612,月ノneet,提督,110,绿冻,36
25,5775091,sue77776,提督,115,绿冻,36
26,863500,任任女孩,提督,127,绿冻,36
27,208818750,你治好了也会流口水,提督,82,绿冻,35
28,496205090,宇宙船800,提督,79,绿冻,35
29,1429196293,匹诺曹317,提督,62,绿冻,35
30,27341319,加库伯_重生冷却中,提督,129,绿冻,35
31,6286790,Hazelnutt_,提督,19,绿冻,35
32,494629966,好兄弟allblacks,提督,74,绿冻,35
33,6251296,栗帽,提督,19,绿冻,31
34,249486249,larva_中国囚人,提督,30,绿冻,31
35,3546983578994744,KOU_KEI,舰长,124,绿冻,38
36,108005133,Taco_7,舰长,135,绿冻,37
37,14071856,最后一步,舰长,124,绿冻,36
38,4041465,风霜已尽惊蛰至,舰长,105,绿冻,36
39,4940641,endle_ss,舰长,128,绿冻,35
40,335998795,自在他化天,舰长,132,绿冻,35
41,18275149,rrrract,舰长,131,绿冻,35
42,10323817,宇宙人不是外星人,舰长,138,绿冻,35
43,68243757,花雨浮华,舰长,136,绿冻,35
44,297087,可樂中毒,舰长,93,绿冻,35
45,444186960,中年外卖员阿哔official,舰长,121,绿冻,34
46,14374,戏言分子,舰长,113,绿冻,34
47,5366426,選ばれた奏者,舰长,118,绿冻,34
48,3493122468219352,超浓厚水蜜桃果汁,舰长,122,绿冻,33
49,195641492,莓梨普贝当,舰长,103,绿冻,33
50,25103813,ヰ繭月,舰长,104,绿冻,33
51,23279442,不良定义,舰长,136,绿冻,33
52,351035979,_纷若_,舰长,120,绿冻,33
53,34880793,Mylenenenenene,舰长,132,绿冻,33
54,234387635,害羞小柚子,舰长,120,绿冻,33
55,3461581952256234,三陈小祥-xxx,舰长,129,绿冻,33
56,628611226,孤独な野良猫,舰长,129,绿冻,33
57,283678245,烟画屏幽,舰长,124,绿冻,33
58,4045067,Ricardo洞,舰长,131,绿冻,33
59,269109657,次の舞台へ,舰长,135,绿冻,33
