rank,uid,username,type,accompany,medal_name,medal_level
1,3546919678773500,灰獺,总督,206,绿冻,46
2,1429196293,匹诺曹317,总督,136,绿冻,43
3,6251296,栗帽,总督,93,绿冻,42
4,916810,Jing11219,总督,64,绿冻,42
5,546160791,幽人独往来--,总督,6,绿冻,40
6,259162605,Arichi_,提督,195,绿冻,46
7,1056997306,異分岐のプリエ,提督,212,绿冻,44
8,954264,禅心皈无意,提督,194,绿冻,43
9,620527230,gorilla3535,提督,197,绿冻,43
10,2399747,绫辻澪,提督,201,绿冻,42
11,39184396,继续吹着风,提督,206,绿冻,42
12,285693795,星光箱水母,提督,199,绿冻,42
13,476251017,衣水难尽,提督,195,绿冻,42
14,485418462,灰泽满家的伊洛本人,提督,141,绿冻,42
15,352883270,米洗鳰原葉,提督,154,绿冻,42
16,2044760,Stan661,提督,186,绿冻,41
17,13334226,微绫,提督,194,绿冻,41
18,5623688,Helikobeter,提督,133,绿冻,40
19,5266758,水布Mizufu,提督,159,绿冻,40
20,39493583,本命伊利亚,提督,194,绿冻,40
21,3546983578994744,KOU_KEI,提督,198,绿冻,40
22,13012997,污盘子,提督,210,绿冻,40
23,228098233,叹虚,提督,174,绿冻,40
24,1002305706,雪音-xy,提督,141,绿冻,40
25,321224291,区泽马,提督,126,绿冻,40
26,208818750,你治好了也会流口水,提督,156,绿冻,39
27,471084,一稞大青菜,提督,201,绿冻,39
28,863500,任任女孩,提督,201,绿冻,38
29,18275149,rrrract,提督,205,绿冻,38
30,5775091,sue77776,提督,189,绿冻,38
31,431935426,摘星踏雪归,提督,163,绿冻,38
32,272305778,明前满绿,提督,83,绿冻,38
33,494629966,aIIblacks,提督,148,绿冻,38
34,9846384,SekiDawn,提督,126,绿冻,37
35,4940641,_end1ess,提督,202,绿冻,37
36,1603612,月ノneet,提督,184,绿冻,37
37,189997540,音速の水母,提督,99,绿冻,37
38,27341319,加库伯,提督,203,绿冻,37
39,253472118,仿佛有一束追光,提督,158,绿冻,37
40,16934546,yowaai,提督,132,绿冻,37
41,5366426,選ばれた奏者,提督,192,绿冻,36
42,3567390,NullExistence_X,提督,156,绿冻,36
43,1569772,澹台璃沙,提督,93,绿冻,36
44,17322,turtlejk,提督,188,绿冻,36
45,24785752,Fndryk,提督,118,绿冻,36
46,933134,-翊天-,提督,84,绿冻,35
47,4045067,Ricardo洞,提督,204,绿冻,35
48,496390331,苦瓜无限供应,提督,45,绿冻,35
49,283678245,烟画屏幽,提督,198,绿冻,35
50,29552416,我一厢情愿的恋人,提督,46,绿冻,35
51,244453975,大纳言黑翼,提督,145,绿冻,35
52,249486249,larva_中国囚人,提督,96,绿冻,35
53,10158641,柜男爆破猴楼来福,提督,147,绿冻,35
54,8396429,airstone42,提督,42,绿冻,35
55,5667363,关心坐骨神经疼,提督,156,绿冻,35
56,130855545,Taki923,提督,6,绿冻,35
57,3546794277472781,比奇南,提督,194,绿冻,35
58,446761374,北冥无鱼也无鲲,提督,203,绿冻,34
59,768021,はいいろ773,提督,136,绿冻,34
60,49094907,1oz47,提督,184,绿冻,34
61,22290994,River-sea,提督,189,绿冻,34
62,12432912,蒲鹭Pulu_official,提督,182,绿冻,34
63,361364517,本間心鈴厨,提督,51,绿冻,34
64,521223761,芙芙狐狐fuff,提督,93,绿冻,34
65,26117826,F常胜,提督,99,绿冻,34
66,12700680,Lappland--,提督,167,绿冻,34
67,306642,刺猬随心配,提督,144,绿冻,34
68,441485494,Elixir_02,提督,23,绿冻,34
69,8834996,杀意波动狂级,提督,6,绿冻,34
70,435816551,大梦自知,提督,41,绿冻,34
71,24463362,悦清平,提督,115,绿冻,34
72,15653509,东东大大,提督,194,绿冻,34
73,266950833,HYSSNH,提督,87,绿冻,33
74,43749583,吾乃路过,提督,84,绿冻,33
75,523891,桜羽エマ様,提督,72,绿冻,33
76,10472761,胡歌我爱你,提督,127,绿冻,33
77,40699233,闲着没事造点什么,提督,66,绿冻,33
78,3258837,月茗绮桦,提督,181,绿冻,33
79,262924074,星天_Change,提督,32,绿冻,33
80,228981124,唐唐T110120T,提督,72,绿冻,33
81,188600545,亚妮艾丝克劳蒂尔,提督,102,绿冻,33
82,84519881,bigassy,提督,181,绿冻,33
83,38739372,_渚风,提督,196,绿冻,33
