rank,uid,username,type,accompany,medal_name,medal_level
1,3546919678773500,灰獺,总督,209,绿冻,46
2,1429196293,匹诺曹317,总督,139,绿冻,43
3,13012997,污盘子,总督,213,绿冻,42
4,6251296,栗帽,总督,96,绿冻,42
5,916810,Jing11219,总督,67,绿冻,42
6,546160791,幽人独往来--,总督,9,绿冻,40
7,259162605,Arichi_,提督,198,绿冻,46
8,1056997306,異分岐のプリエ,提督,215,绿冻,44
9,954264,禅心皈无意,提督,197,绿冻,43
10,620527230,gorilla3535,提督,200,绿冻,43
11,2399747,绫辻澪,提督,204,绿冻,42
12,39184396,继续吹着风,提督,209,绿冻,42
13,285693795,星光箱水母,提督,202,绿冻,42
14,476251017,衣水难尽,提督,198,绿冻,42
15,485418462,灰泽满家的伊洛本人,提督,144,绿冻,42
16,352883270,米洗鳰原葉,提督,157,绿冻,42
17,2044760,Stan661,提督,189,绿冻,41
18,13334226,微绫,提督,197,绿冻,41
19,5623688,Helikobeter,提督,136,绿冻,41
20,5266758,水布Mizufu,提督,162,绿冻,40
21,39493583,本命伊利亚,提督,197,绿冻,40
22,3546983578994744,KOU_KEI,提督,201,绿冻,40
23,228098233,叹虚,提督,177,绿冻,40
24,1002305706,雪音-xy,提督,144,绿冻,40
25,321224291,区泽马,提督,129,绿冻,40
26,208818750,你治好了也会流口水,提督,159,绿冻,39
27,471084,一稞大青菜,提督,204,绿冻,39
28,863500,任任女孩,提督,204,绿冻,38
29,18275149,rrrract,提督,208,绿冻,38
30,5775091,sue77776,提督,192,绿冻,38
31,431935426,摘星踏雪归,提督,166,绿冻,38
32,272305778,明前满绿,提督,86,绿冻,38
33,494629966,aIIblacks,提督,151,绿冻,38
34,9846384,SekiDawn,提督,129,绿冻,37
35,4940641,_end1ess,提督,205,绿冻,37
36,1603612,月ノneet,提督,187,绿冻,37
37,189997540,音速の水母,提督,102,绿冻,37
38,253472118,仿佛有一束追光,提督,161,绿冻,37
39,16934546,yowaai,提督,135,绿冻,37
40,5366426,選ばれた奏者,提督,195,绿冻,37
41,3567390,NullExistence_X,提督,159,绿冻,36
42,1569772,澹台璃沙,提督,96,绿冻,36
43,17322,turtlejk,提督,191,绿冻,36
44,24785752,Fndryk,提督,121,绿冻,36
45,933134,-翊天-,提督,87,绿冻,35
46,4045067,Ricardo洞,提督,207,绿冻,35
47,496390331,苦瓜无限供应,提督,48,绿冻,35
48,283678245,烟画屏幽,提督,201,绿冻,35
49,29552416,我一厢情愿的恋人,提督,49,绿冻,35
50,244453975,大纳言黑翼,提督,148,绿冻,35
51,249486249,larva_中国囚人,提督,99,绿冻,35
52,10158641,暖男爆破猴楼来福,提督,150,绿冻,35
53,8396429,airstone42,提督,45,绿冻,35
54,5667363,关心坐骨神经疼,提督,159,绿冻,35
55,130855545,Taki923,提督,9,绿冻,35
56,3546794277472781,比奇南,提督,197,绿冻,35
57,768021,はいいろ773,提督,139,绿冻,35
58,446761374,北冥无鱼也无鲲,提督,206,绿冻,34
59,49094907,1oz47,提督,187,绿冻,34
60,22290994,River-sea,提督,192,绿冻,34
61,12432912,蒲鹭Pulu_official,提督,185,绿冻,34
62,521223761,芙芙狐狐fuff,提督,96,绿冻,34
63,361364517,本間心鈴厨,提督,54,绿冻,34
64,26117826,F常胜,提督,102,绿冻,34
65,306642,刺猬随心配,提督,147,绿冻,34
66,12700680,Lappland--,提督,170,绿冻,34
67,8834996,杀意波动狂级,提督,9,绿冻,34
68,441485494,Elixir_02,提督,26,绿冻,34
69,435816551,大梦自知,提督,44,绿冻,34
70,24463362,悦清平,提督,118,绿冻,34
71,15653509,东东大大,提督,197,绿冻,34
72,266950833,HYSSNH,提督,90,绿冻,33
73,523891,桜羽エマ様,提督,75,绿冻,33
74,43749583,吾乃路过,提督,87,绿冻,33
75,10472761,胡歌我爱你,提督,130,绿冻,33
76,40699233,闲着没事造点什么,提督,69,绿冻,33
77,3258837,月茗绮桦,提督,184,绿冻,33
78,262924074,星天_Change,提督,35,绿冻,33
79,228981124,唐唐T110120T,提督,75,绿冻,33
80,188600545,亚妮艾丝克劳蒂尔,提督,105,绿冻,33
81,84519881,bigassy,提督,184,绿冻,33
82,501143293,节能-排,提督,52,绿冻,33
83,38739372,_渚风,提督,199,绿冻,33
84,3843791,布罗迪娅,提督,96,绿冻,33
85,354293626,苦救,提督,172,绿冻,33
86,85199377,叁拾0030,提督,67,绿冻,33
87,12976389,橘与柑Orange,提督,31,绿冻,33
88,32951272,天无无极限,提督,157,绿冻,32
89,2669417,好吧好吧hh,提督,53,绿冻,32
90,438892258,好男孩乔琪乔,提督,39,绿冻,32
91,46459464,如泪渐雨,提督,96,绿冻,32
92,239961567,玥今知,提督,99,绿冻,32
93,21172814,なつのだいさんかく,提督,43,绿冻,32
94,36122095,琉夜Hano,提督,170,绿冻,32
95,479746038,橘子合成器,提督,81,绿冻,32
96,5876736,斯堪的纳维纳斯,提督,96,绿冻,32
97,490562631,黑猫小魔法师,提督,42,绿冻,32
98,3706934836333286,冰上lvy,提督,164,绿冻,32
99,455783018,醒不过来了QwQ,提督,48,绿冻,32
100,25409041,听海浪的声音,提督,96,绿冻,32
101,513867469,ace_luku,提督,102,绿冻,32
102,516875,雨雪交加,提督,69,绿冻,32
103,348417906,乌啦乌啦黒,提督,86,绿冻,32
104,22203242,zodiac鸢,提督,96,绿冻,32
105,11496292,人中受击,提督,113,绿冻,32
